Htno,Subcode,Subname,Grade,Credits
20L31A1901,1000201102,Technical English Communication,B,2
20L31A1901,1000201203,Wave Optics and Semiconductor Physics,O,3
20L31A1901,1002201202,Network Analysis,A,3
20L31A1901,1005201203,Data Structures,A,3
20L31A1901,1019201200,Digital Logic Design Principles,B,3
20L31A1901,1000201110,Technical English Communication Lab,O,1.5
20L31A1901,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1901,1005201212,Data Structures Lab,O,1.5
20L31A1901,1019201210,IT Workshop,O,1.5
20L31A1901,1000201121,Constitution of India,CP,-
20L31A1902,1000201102,Technical English Communication,D,2
20L31A1902,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1902,1002201202,Network Analysis,C,3
20L31A1902,1005201203,Data Structures,C,3
20L31A1902,1019201200,Digital Logic Design Principles,C,3
20L31A1902,1000201110,Technical English Communication Lab,A,1.5
20L31A1902,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1902,1005201212,Data Structures Lab,B,1.5
20L31A1902,1019201210,IT Workshop,A,1.5
20L31A1902,1000201121,Constitution of India,CP,-
20L31A1903,1000201102,Technical English Communication,A,2
20L31A1903,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1903,1002201202,Network Analysis,D,3
20L31A1903,1005201203,Data Structures,D,3
20L31A1903,1019201200,Digital Logic Design Principles,B,3
20L31A1903,1000201110,Technical English Communication Lab,A,1.5
20L31A1903,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1903,1005201212,Data Structures Lab,B,1.5
20L31A1903,1019201210,IT Workshop,O,1.5
20L31A1903,1000201121,Constitution of India,CP,-
20L31A1904,1000201102,Technical English Communication,F,0
20L31A1904,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1904,1002201202,Network Analysis,F,0
20L31A1904,1005201203,Data Structures,F,0
20L31A1904,1019201200,Digital Logic Design Principles,F,0
20L31A1904,1000201110,Technical English Communication Lab,B,1.5
20L31A1904,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1904,1005201212,Data Structures Lab,F,0
20L31A1904,1019201210,IT Workshop,AB,0
20L31A1904,1000201121,Constitution of India,NCP,-
20L31A1905,1000201102,Technical English Communication,D,2
20L31A1905,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1905,1002201202,Network Analysis,D,3
20L31A1905,1005201203,Data Structures,D,3
20L31A1905,1019201200,Digital Logic Design Principles,F,0
20L31A1905,1000201110,Technical English Communication Lab,A,1.5
20L31A1905,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1905,1005201212,Data Structures Lab,C,1.5
20L31A1905,1019201210,IT Workshop,O,1.5
20L31A1905,1000201121,Constitution of India,CP,-
20L31A1906,1000201102,Technical English Communication,B,2
20L31A1906,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1906,1002201202,Network Analysis,C,3
20L31A1906,1005201203,Data Structures,A,3
20L31A1906,1019201200,Digital Logic Design Principles,B,3
20L31A1906,1000201110,Technical English Communication Lab,O,1.5
20L31A1906,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1906,1005201212,Data Structures Lab,A,1.5
20L31A1906,1019201210,IT Workshop,O,1.5
20L31A1906,1000201121,Constitution of India,CP,-
20L31A1907,1000201102,Technical English Communication,B,2
20L31A1907,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1907,1002201202,Network Analysis,C,3
20L31A1907,1005201203,Data Structures,B,3
20L31A1907,1019201200,Digital Logic Design Principles,A,3
20L31A1907,1000201110,Technical English Communication Lab,O,1.5
20L31A1907,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1907,1005201212,Data Structures Lab,B,1.5
20L31A1907,1019201210,IT Workshop,O,1.5
20L31A1907,1000201121,Constitution of India,CP,-
20L31A1908,1000201102,Technical English Communication,B,2
20L31A1908,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1908,1002201202,Network Analysis,C,3
20L31A1908,1005201203,Data Structures,B,3
20L31A1908,1019201200,Digital Logic Design Principles,C,3
20L31A1908,1000201110,Technical English Communication Lab,O,1.5
20L31A1908,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1908,1005201212,Data Structures Lab,C,1.5
20L31A1908,1019201210,IT Workshop,B,1.5
20L31A1908,1000201121,Constitution of India,CP,-
20L31A1909,1000201102,Technical English Communication,D,2
20L31A1909,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1909,1002201202,Network Analysis,F,0
20L31A1909,1005201203,Data Structures,F,0
20L31A1909,1019201200,Digital Logic Design Principles,F,0
20L31A1909,1000201110,Technical English Communication Lab,A,1.5
20L31A1909,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1909,1005201212,Data Structures Lab,F,0
20L31A1909,1019201210,IT Workshop,A,1.5
20L31A1909,1000201121,Constitution of India,CP,-
20L31A1910,1000201102,Technical English Communication,B,2
20L31A1910,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1910,1002201202,Network Analysis,B,3
20L31A1910,1005201203,Data Structures,C,3
20L31A1910,1019201200,Digital Logic Design Principles,A,3
20L31A1910,1000201110,Technical English Communication Lab,O,1.5
20L31A1910,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1910,1005201212,Data Structures Lab,O,1.5
20L31A1910,1019201210,IT Workshop,O,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1910,1000201121,Constitution of India,CP,-
20L31A1911,1000201102,Technical English Communication,D,2
20L31A1911,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1911,1002201202,Network Analysis,D,3
20L31A1911,1005201203,Data Structures,D,3
20L31A1911,1019201200,Digital Logic Design Principles,D,3
20L31A1911,1000201110,Technical English Communication Lab,A,1.5
20L31A1911,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1911,1005201212,Data Structures Lab,C,1.5
20L31A1911,1019201210,IT Workshop,A,1.5
20L31A1911,1000201121,Constitution of India,CP,-
20L31A1912,1000201102,Technical English Communication,C,2
20L31A1912,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1912,1002201202,Network Analysis,D,3
20L31A1912,1005201203,Data Structures,B,3
20L31A1912,1019201200,Digital Logic Design Principles,C,3
20L31A1912,1000201110,Technical English Communication Lab,O,1.5
20L31A1912,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1912,1005201212,Data Structures Lab,B,1.5
20L31A1912,1019201210,IT Workshop,O,1.5
20L31A1912,1000201121,Constitution of India,CP,-
20L31A1913,1000201102,Technical English Communication,F,0
20L31A1913,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1913,1002201202,Network Analysis,F,0
20L31A1913,1005201203,Data Structures,F,0
20L31A1913,1019201200,Digital Logic Design Principles,F,0
20L31A1913,1000201110,Technical English Communication Lab,B,1.5
20L31A1913,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1913,1005201212,Data Structures Lab,F,0
20L31A1913,1019201210,IT Workshop,F,0
20L31A1913,1000201121,Constitution of India,NCP,-
20L31A1914,1000201102,Technical English Communication,B,2
20L31A1914,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1914,1002201202,Network Analysis,D,3
20L31A1914,1005201203,Data Structures,C,3
20L31A1914,1019201200,Digital Logic Design Principles,B,3
20L31A1914,1000201110,Technical English Communication Lab,A,1.5
20L31A1914,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1914,1005201212,Data Structures Lab,C,1.5
20L31A1914,1019201210,IT Workshop,A,1.5
20L31A1914,1000201121,Constitution of India,CP,-
20L31A1915,1000201102,Technical English Communication,C,2
20L31A1915,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1915,1002201202,Network Analysis,F,0
20L31A1915,1005201203,Data Structures,F,0
20L31A1915,1019201200,Digital Logic Design Principles,F,0
20L31A1915,1000201110,Technical English Communication Lab,B,1.5
20L31A1915,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1915,1005201212,Data Structures Lab,F,0
20L31A1915,1019201210,IT Workshop,AB,0
20L31A1915,1000201121,Constitution of India,CP,-
20L31A1916,1000201102,Technical English Communication,B,2
Htno,Subcode,Subname,Grade,Credits
20L31A1916,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1916,1002201202,Network Analysis,B,3
20L31A1916,1005201203,Data Structures,B,3
20L31A1916,1019201200,Digital Logic Design Principles,B,3
20L31A1916,1000201110,Technical English Communication Lab,A,1.5
20L31A1916,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1916,1005201212,Data Structures Lab,A,1.5
20L31A1916,1019201210,IT Workshop,O,1.5
20L31A1916,1000201121,Constitution of India,CP,-
20L31A1917,1000201102,Technical English Communication,C,2
20L31A1917,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1917,1002201202,Network Analysis,D,3
20L31A1917,1005201203,Data Structures,C,3
20L31A1917,1019201200,Digital Logic Design Principles,C,3
20L31A1917,1000201110,Technical English Communication Lab,O,1.5
20L31A1917,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1917,1005201212,Data Structures Lab,B,1.5
20L31A1917,1019201210,IT Workshop,A,1.5
20L31A1917,1000201121,Constitution of India,CP,-
20L31A1918,1000201102,Technical English Communication,C,2
20L31A1918,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1918,1002201202,Network Analysis,D,3
20L31A1918,1005201203,Data Structures,D,3
20L31A1918,1019201200,Digital Logic Design Principles,C,3
20L31A1918,1000201110,Technical English Communication Lab,A,1.5
20L31A1918,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1918,1005201212,Data Structures Lab,B,1.5
20L31A1918,1019201210,IT Workshop,O,1.5
20L31A1918,1000201121,Constitution of India,CP,-
20L31A1919,1000201102,Technical English Communication,C,2
20L31A1919,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1919,1002201202,Network Analysis,D,3
20L31A1919,1005201203,Data Structures,D,3
20L31A1919,1019201200,Digital Logic Design Principles,D,3
20L31A1919,1000201110,Technical English Communication Lab,A,1.5
20L31A1919,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1919,1005201212,Data Structures Lab,B,1.5
20L31A1919,1019201210,IT Workshop,A,1.5
20L31A1919,1000201121,Constitution of India,CP,-
20L31A1920,1000201102,Technical English Communication,B,2
20L31A1920,1000201110,Technical English Communication Lab,O,1.5
20L31A1920,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1920,1005201212,Data Structures Lab,B,1.5
20L31A1920,1019201210,IT Workshop,O,1.5
20L31A1920,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1920,1002201202,Network Analysis,C,3
20L31A1920,1005201203,Data Structures,C,3
20L31A1920,1019201200,Digital Logic Design Principles,A,3
20L31A1920,1000201121,Constitution of India,CP,-
20L31A1921,1000201102,Technical English Communication,B,2
20L31A1921,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1921,1002201202,Network Analysis,C,3
Htno,Subcode,Subname,Grade,Credits
20L31A1921,1005201203,Data Structures,B,3
20L31A1921,1019201200,Digital Logic Design Principles,C,3
20L31A1921,1000201110,Technical English Communication Lab,O,1.5
20L31A1921,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1921,1005201212,Data Structures Lab,B,1.5
20L31A1921,1019201210,IT Workshop,O,1.5
20L31A1921,1000201121,Constitution of India,CP,-
20L31A1922,1000201102,Technical English Communication,B,2
20L31A1922,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1922,1002201202,Network Analysis,D,3
20L31A1922,1005201203,Data Structures,B,3
20L31A1922,1019201200,Digital Logic Design Principles,A,3
20L31A1922,1000201110,Technical English Communication Lab,O,1.5
20L31A1922,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1922,1005201212,Data Structures Lab,B,1.5
20L31A1922,1019201210,IT Workshop,B,1.5
20L31A1922,1000201121,Constitution of India,CP,-
20L31A1923,1000201102,Technical English Communication,C,2
20L31A1923,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1923,1002201202,Network Analysis,A,3
20L31A1923,1005201203,Data Structures,C,3
20L31A1923,1019201200,Digital Logic Design Principles,C,3
20L31A1923,1000201110,Technical English Communication Lab,A,1.5
20L31A1923,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1923,1005201212,Data Structures Lab,B,1.5
20L31A1923,1019201210,IT Workshop,O,1.5
20L31A1923,1000201121,Constitution of India,CP,-
20L31A1924,1000201102,Technical English Communication,C,2
20L31A1924,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1924,1002201202,Network Analysis,C,3
20L31A1924,1005201203,Data Structures,C,3
20L31A1924,1019201200,Digital Logic Design Principles,A,3
20L31A1924,1000201110,Technical English Communication Lab,O,1.5
20L31A1924,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1924,1005201212,Data Structures Lab,O,1.5
20L31A1924,1019201210,IT Workshop,O,1.5
20L31A1924,1000201121,Constitution of India,CP,-
20L31A1925,1000201102,Technical English Communication,B,2
20L31A1925,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1925,1002201202,Network Analysis,B,3
20L31A1925,1005201203,Data Structures,C,3
20L31A1925,1019201200,Digital Logic Design Principles,B,3
20L31A1925,1000201110,Technical English Communication Lab,O,1.5
20L31A1925,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1925,1005201212,Data Structures Lab,A,1.5
20L31A1925,1019201210,IT Workshop,O,1.5
20L31A1925,1000201121,Constitution of India,CP,-
20L31A1926,1000201102,Technical English Communication,C,2
20L31A1926,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1926,1002201202,Network Analysis,F,0
20L31A1926,1005201203,Data Structures,F,0
20L31A1926,1019201200,Digital Logic Design Principles,F,0
Htno,Subcode,Subname,Grade,Credits
20L31A1926,1000201110,Technical English Communication Lab,A,1.5
20L31A1926,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1926,1005201212,Data Structures Lab,B,1.5
20L31A1926,1019201210,IT Workshop,B,1.5
20L31A1926,1000201121,Constitution of India,CP,-
20L31A1927,1000201102,Technical English Communication,B,2
20L31A1927,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1927,1002201202,Network Analysis,B,3
20L31A1927,1005201203,Data Structures,C,3
20L31A1927,1019201200,Digital Logic Design Principles,B,3
20L31A1927,1000201110,Technical English Communication Lab,O,1.5
20L31A1927,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1927,1005201212,Data Structures Lab,B,1.5
20L31A1927,1019201210,IT Workshop,O,1.5
20L31A1927,1000201121,Constitution of India,CP,-
20L31A1928,1000201102,Technical English Communication,B,2
20L31A1928,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1928,1002201202,Network Analysis,C,3
20L31A1928,1005201203,Data Structures,C,3
20L31A1928,1019201200,Digital Logic Design Principles,A,3
20L31A1928,1000201110,Technical English Communication Lab,O,1.5
20L31A1928,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1928,1005201212,Data Structures Lab,A,1.5
20L31A1928,1019201210,IT Workshop,O,1.5
20L31A1928,1000201121,Constitution of India,CP,-
20L31A1929,1000201102,Technical English Communication,D,2
20L31A1929,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1929,1002201202,Network Analysis,F,0
20L31A1929,1005201203,Data Structures,F,0
20L31A1929,1019201200,Digital Logic Design Principles,F,0
20L31A1929,1000201110,Technical English Communication Lab,A,1.5
20L31A1929,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1929,1005201212,Data Structures Lab,C,1.5
20L31A1929,1019201210,IT Workshop,A,1.5
20L31A1929,1000201121,Constitution of India,NCP,-
20L31A1930,1000201102,Technical English Communication,D,2
20L31A1930,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1930,1002201202,Network Analysis,F,0
20L31A1930,1005201203,Data Structures,D,3
20L31A1930,1019201200,Digital Logic Design Principles,D,3
20L31A1930,1000201110,Technical English Communication Lab,A,1.5
20L31A1930,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1930,1005201212,Data Structures Lab,C,1.5
20L31A1930,1019201210,IT Workshop,A,1.5
20L31A1930,1000201121,Constitution of India,CP,-
20L31A1931,1000201102,Technical English Communication,B,2
20L31A1931,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1931,1002201202,Network Analysis,C,3
20L31A1931,1005201203,Data Structures,C,3
20L31A1931,1019201200,Digital Logic Design Principles,B,3
20L31A1931,1000201110,Technical English Communication Lab,O,1.5
20L31A1931,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1931,1005201212,Data Structures Lab,B,1.5
20L31A1931,1019201210,IT Workshop,O,1.5
20L31A1931,1000201121,Constitution of India,CP,-
20L31A1932,1000201102,Technical English Communication,C,2
20L31A1932,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1932,1002201202,Network Analysis,D,3
20L31A1932,1005201203,Data Structures,D,3
