Htno,Subcode,Subname,Grade,Credits
20L31A1932,1019201200,Digital Logic Design Principles,D,3
20L31A1932,1000201110,Technical English Communication Lab,C,1.5
20L31A1932,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1932,1005201212,Data Structures Lab,C,1.5
20L31A1932,1019201210,IT Workshop,B,1.5
20L31A1932,1000201121,Constitution of India,CP,-
20L31A1933,1000201102,Technical English Communication,B,2
20L31A1933,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1933,1002201202,Network Analysis,C,3
20L31A1933,1005201203,Data Structures,B,3
20L31A1933,1019201200,Digital Logic Design Principles,B,3
20L31A1933,1000201110,Technical English Communication Lab,O,1.5
20L31A1933,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1933,1005201212,Data Structures Lab,B,1.5
20L31A1933,1019201210,IT Workshop,O,1.5
20L31A1933,1000201121,Constitution of India,CP,-
20L31A1934,1000201102,Technical English Communication,B,2
20L31A1934,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1934,1002201202,Network Analysis,C,3
20L31A1934,1005201203,Data Structures,C,3
20L31A1934,1019201200,Digital Logic Design Principles,A,3
20L31A1934,1000201110,Technical English Communication Lab,A,1.5
20L31A1934,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1934,1005201212,Data Structures Lab,C,1.5
20L31A1934,1019201210,IT Workshop,A,1.5
20L31A1934,1000201121,Constitution of India,CP,-
20L31A1935,1000201102,Technical English Communication,A,2
20L31A1935,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1935,1002201202,Network Analysis,D,3
20L31A1935,1005201203,Data Structures,B,3
20L31A1935,1019201200,Digital Logic Design Principles,B,3
20L31A1935,1000201110,Technical English Communication Lab,O,1.5
20L31A1935,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1935,1005201212,Data Structures Lab,B,1.5
20L31A1935,1019201210,IT Workshop,O,1.5
20L31A1935,1000201121,Constitution of India,CP,-
20L31A1936,1000201102,Technical English Communication,A,2
20L31A1936,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1936,1002201202,Network Analysis,C,3
20L31A1936,1005201203,Data Structures,C,3
20L31A1936,1019201200,Digital Logic Design Principles,B,3
20L31A1936,1000201110,Technical English Communication Lab,O,1.5
20L31A1936,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1936,1005201212,Data Structures Lab,B,1.5
20L31A1936,1019201210,IT Workshop,O,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1936,1000201121,Constitution of India,CP,-
20L31A1937,1000201102,Technical English Communication,B,2
20L31A1937,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1937,1002201202,Network Analysis,D,3
20L31A1937,1005201203,Data Structures,B,3
20L31A1937,1019201200,Digital Logic Design Principles,A,3
20L31A1937,1000201110,Technical English Communication Lab,O,1.5
20L31A1937,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1937,1005201212,Data Structures Lab,O,1.5
20L31A1937,1019201210,IT Workshop,O,1.5
20L31A1937,1000201121,Constitution of India,CP,-
20L31A1938,1000201102,Technical English Communication,C,2
20L31A1938,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1938,1002201202,Network Analysis,F,0
20L31A1938,1005201203,Data Structures,F,0
20L31A1938,1019201200,Digital Logic Design Principles,F,0
20L31A1938,1000201110,Technical English Communication Lab,C,1.5
20L31A1938,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1938,1005201212,Data Structures Lab,C,1.5
20L31A1938,1019201210,IT Workshop,C,1.5
20L31A1938,1000201121,Constitution of India,CP,-
20L31A1939,1000201102,Technical English Communication,B,2
20L31A1939,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1939,1002201202,Network Analysis,D,3
20L31A1939,1005201203,Data Structures,D,3
20L31A1939,1019201200,Digital Logic Design Principles,F,0
20L31A1939,1000201110,Technical English Communication Lab,B,1.5
20L31A1939,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1939,1005201212,Data Structures Lab,B,1.5
20L31A1939,1019201210,IT Workshop,B,1.5
20L31A1939,1000201121,Constitution of India,CP,-
20L31A1940,1000201102,Technical English Communication,D,2
20L31A1940,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1940,1002201202,Network Analysis,F,0
20L31A1940,1005201203,Data Structures,F,0
20L31A1940,1019201200,Digital Logic Design Principles,F,0
20L31A1940,1000201110,Technical English Communication Lab,O,1.5
20L31A1940,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1940,1005201212,Data Structures Lab,B,1.5
20L31A1940,1019201210,IT Workshop,A,1.5
20L31A1940,1000201121,Constitution of India,CP,-
20L31A1941,1000201102,Technical English Communication,B,2
20L31A1941,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1941,1002201202,Network Analysis,F,0
20L31A1941,1005201203,Data Structures,D,3
20L31A1941,1019201200,Digital Logic Design Principles,F,0
20L31A1941,1000201110,Technical English Communication Lab,A,1.5
20L31A1941,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1941,1005201212,Data Structures Lab,C,1.5
20L31A1941,1019201210,IT Workshop,B,1.5
20L31A1941,1000201121,Constitution of India,CP,-
20L31A1942,1000201102,Technical English Communication,A,2
Htno,Subcode,Subname,Grade,Credits
20L31A1942,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1942,1002201202,Network Analysis,F,0
20L31A1942,1005201203,Data Structures,D,3
20L31A1942,1019201200,Digital Logic Design Principles,D,3
20L31A1942,1000201110,Technical English Communication Lab,O,1.5
20L31A1942,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1942,1005201212,Data Structures Lab,C,1.5
20L31A1942,1019201210,IT Workshop,C,1.5
20L31A1942,1000201121,Constitution of India,CP,-
20L31A1943,1000201102,Technical English Communication,B,2
20L31A1943,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1943,1002201202,Network Analysis,D,3
20L31A1943,1005201203,Data Structures,C,3
20L31A1943,1019201200,Digital Logic Design Principles,D,3
20L31A1943,1000201110,Technical English Communication Lab,A,1.5
20L31A1943,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1943,1005201212,Data Structures Lab,C,1.5
20L31A1943,1019201210,IT Workshop,B,1.5
20L31A1943,1000201121,Constitution of India,CP,-
20L31A1944,1000201102,Technical English Communication,B,2
20L31A1944,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1944,1002201202,Network Analysis,C,3
20L31A1944,1005201203,Data Structures,C,3
20L31A1944,1019201200,Digital Logic Design Principles,B,3
20L31A1944,1000201110,Technical English Communication Lab,A,1.5
20L31A1944,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1944,1005201212,Data Structures Lab,C,1.5
20L31A1944,1019201210,IT Workshop,A,1.5
20L31A1944,1000201121,Constitution of India,CP,-
20L31A1945,1000201102,Technical English Communication,B,2
20L31A1945,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1945,1002201202,Network Analysis,F,0
20L31A1945,1005201203,Data Structures,D,3
20L31A1945,1019201200,Digital Logic Design Principles,F,0
20L31A1945,1000201110,Technical English Communication Lab,C,1.5
20L31A1945,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1945,1005201212,Data Structures Lab,C,1.5
20L31A1945,1019201210,IT Workshop,B,1.5
20L31A1945,1000201121,Constitution of India,CP,-
20L31A1946,1000201102,Technical English Communication,A,2
20L31A1946,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1946,1002201202,Network Analysis,D,3
20L31A1946,1005201203,Data Structures,C,3
20L31A1946,1019201200,Digital Logic Design Principles,C,3
20L31A1946,1000201110,Technical English Communication Lab,O,1.5
20L31A1946,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1946,1005201212,Data Structures Lab,B,1.5
20L31A1946,1019201210,IT Workshop,B,1.5
20L31A1946,1000201121,Constitution of India,CP,-
20L31A1947,1000201102,Technical English Communication,B,2
20L31A1947,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1947,1002201202,Network Analysis,C,3
Htno,Subcode,Subname,Grade,Credits
20L31A1947,1005201203,Data Structures,B,3
20L31A1947,1019201200,Digital Logic Design Principles,C,3
20L31A1947,1000201110,Technical English Communication Lab,A,1.5
20L31A1947,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1947,1005201212,Data Structures Lab,B,1.5
20L31A1947,1019201210,IT Workshop,A,1.5
20L31A1947,1000201121,Constitution of India,CP,-
20L31A1948,1000201102,Technical English Communication,C,2
20L31A1948,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1948,1002201202,Network Analysis,F,0
20L31A1948,1005201203,Data Structures,D,3
20L31A1948,1019201200,Digital Logic Design Principles,F,0
20L31A1948,1000201110,Technical English Communication Lab,B,1.5
20L31A1948,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1948,1005201212,Data Structures Lab,C,1.5
20L31A1948,1019201210,IT Workshop,C,1.5
20L31A1948,1000201121,Constitution of India,CP,-
20L31A1949,1000201102,Technical English Communication,A,2
20L31A1949,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1949,1002201202,Network Analysis,B,3
20L31A1949,1005201203,Data Structures,B,3
20L31A1949,1019201200,Digital Logic Design Principles,B,3
20L31A1949,1000201110,Technical English Communication Lab,A,1.5
20L31A1949,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1949,1005201212,Data Structures Lab,B,1.5
20L31A1949,1019201210,IT Workshop,A,1.5
20L31A1949,1000201121,Constitution of India,CP,-
20L31A1950,1000201102,Technical English Communication,A,2
20L31A1950,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1950,1002201202,Network Analysis,D,3
20L31A1950,1005201203,Data Structures,B,3
20L31A1950,1019201200,Digital Logic Design Principles,B,3
20L31A1950,1000201110,Technical English Communication Lab,O,1.5
20L31A1950,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1950,1005201212,Data Structures Lab,A,1.5
20L31A1950,1019201210,IT Workshop,A,1.5
20L31A1950,1000201121,Constitution of India,CP,-
20L31A1951,1000201102,Technical English Communication,B,2
20L31A1951,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1951,1002201202,Network Analysis,D,3
20L31A1951,1005201203,Data Structures,C,3
20L31A1951,1019201200,Digital Logic Design Principles,D,3
20L31A1951,1000201110,Technical English Communication Lab,A,1.5
20L31A1951,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1951,1005201212,Data Structures Lab,C,1.5
20L31A1951,1019201210,IT Workshop,O,1.5
20L31A1951,1000201121,Constitution of India,CP,-
20L31A1952,1000201102,Technical English Communication,A,2
20L31A1952,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1952,1002201202,Network Analysis,C,3
20L31A1952,1005201203,Data Structures,B,3
20L31A1952,1019201200,Digital Logic Design Principles,A,3
Htno,Subcode,Subname,Grade,Credits
20L31A1952,1000201110,Technical English Communication Lab,C,1.5
20L31A1952,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1952,1005201212,Data Structures Lab,A,1.5
20L31A1952,1019201210,IT Workshop,A,1.5
20L31A1952,1000201121,Constitution of India,CP,-
20L31A1953,1000201102,Technical English Communication,A,2
20L31A1953,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1953,1002201202,Network Analysis,D,3
20L31A1953,1005201203,Data Structures,C,3
20L31A1953,1019201200,Digital Logic Design Principles,D,3
20L31A1953,1000201110,Technical English Communication Lab,O,1.5
20L31A1953,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1953,1005201212,Data Structures Lab,B,1.5
20L31A1953,1019201210,IT Workshop,B,1.5
20L31A1953,1000201121,Constitution of India,CP,-
20L31A1954,1000201102,Technical English Communication,B,2
20L31A1954,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1954,1002201202,Network Analysis,C,3
20L31A1954,1005201203,Data Structures,C,3
20L31A1954,1019201200,Digital Logic Design Principles,D,3
20L31A1954,1000201110,Technical English Communication Lab,A,1.5
20L31A1954,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1954,1005201212,Data Structures Lab,C,1.5
20L31A1954,1019201210,IT Workshop,B,1.5
20L31A1954,1000201121,Constitution of India,CP,-
20L31A1955,1000201102,Technical English Communication,D,2
20L31A1955,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1955,1002201202,Network Analysis,F,0
20L31A1955,1005201203,Data Structures,F,0
20L31A1955,1019201200,Digital Logic Design Principles,F,0
20L31A1955,1000201110,Technical English Communication Lab,AB,0
20L31A1955,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1955,1005201212,Data Structures Lab,AB,0
20L31A1955,1019201210,IT Workshop,AB,0
20L31A1955,1000201121,Constitution of India,NCP,-
20L31A1956,1000201102,Technical English Communication,B,2
20L31A1956,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1956,1002201202,Network Analysis,F,0
20L31A1956,1005201203,Data Structures,D,3
20L31A1956,1019201200,Digital Logic Design Principles,F,0
20L31A1956,1000201110,Technical English Communication Lab,O,1.5
20L31A1956,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1956,1005201212,Data Structures Lab,C,1.5
20L31A1956,1019201210,IT Workshop,B,1.5
20L31A1956,1000201121,Constitution of India,CP,-
20L31A1957,1000201102,Technical English Communication,B,2
20L31A1957,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1957,1002201202,Network Analysis,F,0
20L31A1957,1005201203,Data Structures,D,3
20L31A1957,1019201200,Digital Logic Design Principles,D,3
20L31A1957,1000201110,Technical English Communication Lab,A,1.5
20L31A1957,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1957,1005201212,Data Structures Lab,D,1.5
20L31A1957,1019201210,IT Workshop,B,1.5
20L31A1957,1000201121,Constitution of India,CP,-
20L31A1958,1000201102,Technical English Communication,B,2
20L31A1958,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1958,1002201202,Network Analysis,F,0
20L31A1958,1005201203,Data Structures,D,3
20L31A1958,1019201200,Digital Logic Design Principles,D,3
20L31A1958,1000201110,Technical English Communication Lab,O,1.5
20L31A1958,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1958,1005201212,Data Structures Lab,C,1.5
20L31A1958,1019201210,IT Workshop,O,1.5
20L31A1958,1000201121,Constitution of India,CP,-
20L31A1959,1000201102,Technical English Communication,A,2
20L31A1959,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1959,1002201202,Network Analysis,C,3
20L31A1959,1005201203,Data Structures,C,3
20L31A1959,1019201200,Digital Logic Design Principles,C,3
20L31A1959,1000201110,Technical English Communication Lab,A,1.5
20L31A1959,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1959,1005201212,Data Structures Lab,C,1.5
20L31A1959,1019201210,IT Workshop,O,1.5
20L31A1959,1000201121,Constitution of India,CP,-
20L31A1960,1000201102,Technical English Communication,B,2
20L31A1960,1000201110,Technical English Communication Lab,A,1.5
20L31A1960,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1960,1005201212,Data Structures Lab,B,1.5
20L31A1960,1019201210,IT Workshop,O,1.5
20L31A1960,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1960,1002201202,Network Analysis,B,3
20L31A1960,1005201203,Data Structures,A,3
20L31A1960,1019201200,Digital Logic Design Principles,B,3
20L31A1960,1000201121,Constitution of India,CP,-
20L31A1961,1000201102,Technical English Communication,C,2
20L31A1961,1000201203,Wave Optics and Semiconductor Physics,D,3
20L31A1961,1002201202,Network Analysis,D,3
20L31A1961,1005201203,Data Structures,B,3
20L31A1961,1019201200,Digital Logic Design Principles,B,3
20L31A1961,1000201110,Technical English Communication Lab,A,1.5
20L31A1961,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1961,1005201212,Data Structures Lab,O,1.5
20L31A1961,1019201210,IT Workshop,A,1.5
20L31A1961,1000201121,Constitution of India,CP,-
20L31A1962,1000201102,Technical English Communication,A,2
20L31A1962,1000201203,Wave Optics and Semiconductor Physics,O,3
20L31A1962,1002201202,Network Analysis,B,3
20L31A1962,1005201203,Data Structures,B,3
20L31A1962,1019201200,Digital Logic Design Principles,O,3
20L31A1962,1000201110,Technical English Communication Lab,O,1.5
20L31A1962,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1962,1005201212,Data Structures Lab,A,1.5
20L31A1962,1019201210,IT Workshop,O,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1962,1000201121,Constitution of India,CP,-
20L31A1963,1000201102,Technical English Communication,D,2
20L31A1963,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1963,1002201202,Network Analysis,F,0
20L31A1963,1005201203,Data Structures,F,0
20L31A1963,1019201200,Digital Logic Design Principles,F,0
20L31A1963,1000201110,Technical English Communication Lab,B,1.5
20L31A1963,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1963,1005201212,Data Structures Lab,D,1.5
20L31A1963,1019201210,IT Workshop,AB,0
20L31A1963,1000201121,Constitution of India,NCP,-
